id,nome,lat,lon,demanda
0,Sao Paulo,-23.5505,-46.6333,54
1,Rio de Janeiro,-22.9068,-43.1729,43
2,Belo Horizonte,-19.9167,-43.9345,75
3,Curitiba,-25.4284,-49.2733,71
4,Porto Alegre,-30.0346,-51.2177,68
5,Salvador,-12.9714,-38.5014,57
6,Recife,-8.0476,-34.877,53
7,Fortaleza,-3.7319,-38.5267,109
8,Brasilia,-15.7939,-47.8828,51
9,Goiania,-16.6869,-49.2648,115
10,Manaus,-3.119,-60.0217,94
11,Belem,-1.4558,-48.5039,44
12,Vitoria,-20.3155,-40.3128,43
13,Florianopolis,-27.5954,-48.548,51
14,Natal,-5.7945,-35.211,67
15,Joao Pessoa,-7.1195,-34.845,69
16,Maceio,-9.6658,-35.735,104
17,Aracaju,-10.9472,-37.0731,117
18,Sao Luis,-2.5307,-44.3068,43
19,Teresina,-5.0892,-42.8016,111
20,Cuiaba,-15.6014,-56.0979,65
21,Campo Grande,-20.4697,-54.6201,109
22,Florianopolis-Reg01,-28.99319688979652,-48.10167158062046,8
23,Salvador-Reg02,-11.980703025058865,-39.30014741741004,17
24,Recife-Reg03,-5.7615346389660935,-35.69402727443687,13
25,Vitoria-Reg04,-22.33191811583268,-38.5753281682627,24
26,Rio de Janeiro-Reg05,-21.75814106653091,-42.9917595427265,32
27,Belo Horizonte-Reg06,-19.656496843633864,-42.287476678735025,31
28,Sao Luis-Reg07,-4.0692570487167,-46.459024255881296,22
29,Goiania-Reg08,-14.260792396696212,-47.488211394924264,14
30,Vitoria-Reg09,-21.425631984449538,-39.634377778678,31
31,Salvador-Reg10,-13.620495164415587,-39.95386484614256,25
32,Campo Grande-Reg11,-19.729523073767034,-54.07444497166506,18
33,Aracaju-Reg12,-9.801566010248255,-38.75608753119035,32
34,Brasilia-Reg13,-13.346283246817023,-47.182801200729536,43
35,Fortaleza-Reg14,-2.808828745050627,-36.81244039905095,11
36,Fortaleza-Reg15,-2.1228870299659586,-37.00147099614393,33
37,Brasilia-Reg16,-17.962956973942266,-45.81711937907228,44
38,Manaus-Reg17,-4.555867279729297,-60.02554370253861,37
39,Porto Alegre-Reg18,-31.21019916750974,-52.48456246153008,43
40,Aracaju-Reg19,-12.133491957385324,-36.650170048882295,45
41,Vitoria-Reg20,-21.005517781431944,-37.8261711100542,16
42,Maceio-Reg21,-9.698220825551847,-34.45608921233131,15
43,Porto Alegre-Reg22,-29.39736979148455,-49.75730317818518,35
44,Teresina-Reg23,-7.271561469240215,-43.39350356746732,37
45,Maceio-Reg24,-10.908729400090936,-35.46887051892356,8
46,Campo Grande-Reg25,-19.366090903199026,-53.711548154867124,42
47,Brasilia-Reg26,-14.450906336712771,-48.681922634844774,26
48,Florianopolis-Reg27,-29.304611228276652,-51.03177341949136,24
49,Maceio-Reg28,-8.355989004739678,-35.696591626978375,14
50,Cuiaba-Reg29,-16.609176042756836,-55.403152525669974,20
51,Porto Alegre-Reg30,-30.665030737044262,-52.90995482123424,41
52,Sao Paulo-Reg31,-23.055777077698856,-46.69027145985526,15
53,Belem-Reg32,0.4378093891159214,-46.8455723531941,27
54,Fortaleza-Reg33,-5.942274167529062,-36.6366520039798,13
55,Belo Horizonte-Reg34,-18.75716202577686,-42.35438373289956,42
56,Porto Alegre-Reg35,-31.892642677501186,-51.341288109506344,43
57,Salvador-Reg36,-14.146116855299704,-36.63923479457371,35
58,Recife-Reg37,-5.903032534989115,-33.600674016820975,20
59,Goiania-Reg38,-17.191938500012856,-48.40636520180858,31
