id,nome,lat,lon,custo_fixo,capacidade
0,Sao Paulo-SP,-23.5505,-46.6333,450000,900
1,Rio de Janeiro-RJ,-22.9068,-43.1729,380000,700
2,Belo Horizonte-MG,-19.9167,-43.9345,300000,650
3,Curitiba-PR,-25.4284,-49.2733,280000,600
4,Porto Alegre-RS,-30.0346,-51.2177,290000,550
5,Salvador-BA,-12.9714,-38.5014,260000,500
6,Recife-PE,-8.0476,-34.877,250000,480
7,Fortaleza-CE,-3.7319,-38.5267,240000,450
8,Brasilia-DF,-15.7939,-47.8828,310000,600
9,Goiania-GO,-16.6869,-49.2648,240000,450
10,Manaus-AM,-3.119,-60.0217,330000,400
11,Belem-PA,-1.4558,-48.5039,280000,420
