frac_do_original,co2_budget_kg,custo_total_RS,co2_efetivo_kg,n_CDs
0.55,45548.757267061745,,,
0.6,49689.55338224917,,,
0.65,53830.349497436604,,,
0.7,57971.14561262403,3604994.3706035507,55179.30195484032,11
0.75,62111.94172781147,3252748.8510138337,58620.85752571542,10
0.8,66252.7378429989,2976372.4148037145,62790.17943566062,9
0.85,70393.53395818632,2750111.6609006524,69453.84595168085,8
0.9,74534.33007337376,2715457.8803900843,71356.77716837045,8
1.0,82815.92230374862,2507419.972681179,81520.0766124662,7
1.1,91097.51453412349,2316769.763169434,90119.45063300976,6
